IDADE,QT_FILHOS,QT_IMOVEIS,VL_IMOVEIS,OUTRA_RENDA_VALOR,TEMPO_ULTIMO_EMPREGO_MESES,ULTIMO_SALARIO,QT_CARROS,VALOR_TABELA_CARROS,SCORE,VLM_IMOVEIS,RENDA_TOTAL,VM_VEICULOS,IDADE_discretized,TEMPO_ULTIMO_EMPREGO_MESES_discretized,UF_PR,UF_RJ,UF_SC,UF_SP,ESCOLARIDADE_Superior Completo,ESCOLARIDADE_Superior Cursando,ESTADO_CIVIL_Divorciado,ESTADO_CIVIL_Solteiro,ESTADO_CIVIL_Viuvo,CASA_PROPRIA_Sim,OUTRA_RENDA_Sim,TRABALHANDO_ATUALMENTE_Sim
19,0,0,0,0,8,1800.0,0,0,12.0,0.0,1800.0,0.0,0,0,False,False,False,True,False,True,False,True,False,False,False,True
23,1,0,0,0,9,4800.0,1,50000,18.0,0.0,0.0,50000.0,0,0,False,False,False,False,True,False,False,True,False,False,False,False
25,0,1,220000,0,18,2200.0,2,30000,23.0,220000.0,2200.0,15000.0,0,1,False,False,True,False,False,False,False,False,False,True,False,True
27,1,0,0,0,22,3900.0,0,0,28.6666666666667,0.0,0.0,0.0,0,2,True,False,False,False,False,True,False,False,False,True,False,False
28,2,1,370000,0,30,8287.157452496896,1,35000,34.1666666666667,370000.0,8287.157452496896,35000.0,1,2,False,True,False,False,True,False,True,False,False,False,False,True
30,0,0,0,0,14,3100.0,2,40000,39.6666666666667,0.0,3100.0,20000.0,1,1,False,False,False,True,False,False,True,False,False,False,False,True
32,1,1,185000,3000,19,6800.0,0,0,45.1666666666667,185000.0,9800.0,0.0,1,2,False,False,False,False,False,True,False,True,False,True,True,True
35,1,2,450000,2400,25,22000.0,1,150000,50.6666666666667,225000.0,24400.0,150000.0,1,2,False,False,True,False,True,False,False,True,False,True,True,True
42,0,0,0,0,48,4500.0,2,28000,56.1666666666667,0.0,4500.0,14000.0,2,3,True,False,False,False,False,False,False,False,False,False,False,True
45,0,0,0,0,120,9800.0,0,0,61.6666666666667,0.0,0.0,0.0,2,4,False,True,False,False,False,True,False,False,False,False,False,False
48,2,2,600000,0,15,15000.0,1,70000,67.1666666666667,300000.0,15000.0,70000.0,2,1,False,False,False,True,True,False,True,False,False,True,False,True
51,1,0,0,0,80,6100.0,2,48000,72.6666666666667,0.0,0.0,24000.0,3,3,False,False,False,False,False,False,True,False,False,True,False,False
53,2,1,280000,0,12,9000.0,0,0,78.1666666666667,280000.0,9000.0,0.0,3,0,False,False,True,False,False,True,False,False,False,False,False,True
55,2,3,700000,0,75,17500.0,1,50000,83.6666666666667,233333.33333333334,0.0,50000.0,3,3,True,False,False,False,True,False,False,False,False,False,False,False
57,3,1,340000,4000,90,13000.0,2,180000,89.1666666666667,340000.0,17000.0,90000.0,4,4,False,True,False,False,False,False,False,False,False,True,True,True
62,3,1,450000,3200,93,5300.0,0,0,94.6666666666667,450000.0,3200.0,0.0,4,4,False,False,False,True,False,True,False,False,False,True,True,False
65,1,3,900000,0,150,18300.0,1,80000,98.0,300000.0,0.0,80000.0,4,4,False,True,False,False,True,False,False,False,True,False,False,False
19,0,0,0,0,8,1800.0,0,0,12.0,0.0,1800.0,0.0,0,0,False,False,False,True,False,True,False,True,False,False,False,True
23,1,0,0,0,9,4800.0,1,50000,18.0,0.0,0.0,50000.0,0,0,False,False,False,False,True,False,False,True,False,False,False,False
25,0,1,220000,0,18,2200.0,2,30000,23.0,220000.0,2200.0,15000.0,0,1,False,False,True,False,False,False,False,False,False,True,False,True
27,1,0,0,0,22,3900.0,0,0,28.6666666666667,0.0,0.0,0.0,0,2,True,False,False,False,False,True,False,False,False,True,False,False
28,2,1,370000,0,30,11500.0,1,35000,34.1666666666667,370000.0,11500.0,35000.0,1,2,False,True,False,False,True,False,True,False,False,False,False,True
30,0,0,0,0,14,3100.0,2,40000,39.6666666666667,0.0,3100.0,20000.0,1,1,False,False,False,True,False,False,True,False,False,False,False,True
32,1,1,185000,3000,19,6800.0,0,0,45.1666666666667,185000.0,9800.0,0.0,1,2,False,False,False,False,False,True,False,True,False,True,True,True
35,1,2,450000,2400,25,22000.0,1,150000,50.6666666666667,225000.0,24400.0,150000.0,1,2,False,False,True,False,True,False,False,True,False,True,True,True
42,0,0,0,0,48,4500.0,2,28000,56.1666666666667,0.0,4500.0,14000.0,2,3,True,False,False,False,False,False,False,False,False,False,False,True
45,0,0,0,0,120,9800.0,0,0,61.6666666666667,0.0,0.0,0.0,2,4,False,True,False,False,False,True,False,False,False,False,False,False
48,1,2,600000,0,15,15000.0,1,70000,67.1666666666667,300000.0,15000.0,70000.0,2,1,False,False,False,True,True,False,True,False,False,True,False,True
51,1,0,0,0,80,6100.0,2,48000,72.6666666666667,0.0,0.0,24000.0,3,3,False,False,False,False,False,False,True,False,False,True,False,False
53,2,1,280000,0,12,9000.0,0,0,78.1666666666667,280000.0,9000.0,0.0,3,0,False,False,True,False,False,True,False,False,False,False,False,True
55,2,3,700000,0,75,17500.0,1,50000,83.6666666666667,233333.33333333334,0.0,50000.0,3,3,True,False,False,False,True,False,False,False,False,False,False,False
57,3,1,340000,4000,90,13000.0,2,180000,89.1666666666667,340000.0,17000.0,90000.0,4,4,False,True,False,False,False,False,False,False,False,True,True,True
62,3,1,450000,3200,93,5300.0,0,0,94.6666666666667,450000.0,3200.0,0.0,4,4,False,False,False,True,False,True,False,False,False,True,True,False
